type_category,mse,rmse,rmse_pct,forecast_standard_deviation
Basic,5.350075876501474e-15,7.314421287088592e-08,0.0,333324.1778668549
PMRM,1.3360905597292068e-24,1.1558938358383986e-12,0.0,193.83104823773
Request,36399093526.591866,190785.46466277735,0.61422,271452.23583082884
