portfolio,mse,rmse,rmse_pct,forecast_standard_deviation
Central,4264285662.882409,65301.49816721213,0.551291,103567.6322631755
Giant Food,14418636528.633156,120077.62709444735,0.675714,163488.53356268513
Giant Martins,2375635030.347722,48740.486562484395,0.463026,103170.6844402329
North,3851041049.174942,62056.756676247125,0.496739,96920.96392921715
South,2142155265.3859596,46283.42322458398,0.514744,76579.10775762153
