portfolio,mse,rmse,rmse_pct,forecast_standard_deviation
Central,4730625566.718328,68779.54322847984,0.580654,110083.86335628018
Giant Food,16048409633.086857,126682.3177601628,0.712881,183892.65238901516
Giant Martins,3011898949.311669,54880.770305378086,0.521358,116991.772907452
North,4128658720.444155,64254.639680292,0.514332,100379.35401237484
South,2370955917.0897975,48692.46263118962,0.541537,82106.50351979544
