region,index,y,total_labor_hours,wo#
Region 33,337.4170690499945,123.44566048225275,104.48605037321477,22.4148917444585
Region 33,341.9081940261439,121.26143540204413,105.74023610793316,22.721701999192213
Region 33,346.16988018517935,119.18963711129183,106.9258518118072,23.011820970851147
Region 33,350.21416917124134,117.22390271767173,108.05219294108414,23.287369085450095
Region 33,354.05207827972805,115.35829440407085,109.1208527243644,23.548813358854126
Region 33,357.6941532971886,113.58788425485213,110.13502511351103,23.79692599963941
Region 33,361.15038408742606,111.90780821921115,111.09743783641198,24.03237632986877
Region 9,313.2327599161864,216511.97097620813,14619.39899615605,1848.672419462228
Region 9,322.5133755213426,225159.29602709692,14740.812752055834,1993.9762561472562
Region 9,331.84791067999237,237972.2223262329,15443.311884646335,2134.612277236028
Region 9,341.237474621439,254184.6670881535,16315.766379245133,2262.8325766815165
Region 9,350.681281001425,272007.25892671983,17194.45331564282,2379.1606517139803
Region 9,360.1780524117045,290044.40549174394,18027.989410664297,2486.3199701231106
Region 9,369.7265827645864,307509.39478027844,18810.175890014183,2587.008099843407
Region 9,379.3259102931111,324079.89336943626,19549.5467238721,2683.2981624294216
Region 9,388.97533119284134,339709.3151341643,20257.089058982507,2776.6338382297413
Region 9,398.6743604616395,354485.4504546436,20942.176573691024,2867.9830659836234
Region 9,408.42268396836425,368544.93337926595,21611.80846149246,2957.993125289452
Region 9,418.2201168538151,382028.90793486417,22270.946313824465,3047.105745735128
